Player,Age,Current club,Market value,Nat.,Season,Contract
"['Dean Huijsen', 'Centre-Back']",20,Real Madrid CF,€60.00m,Spain,2024,"Jun 30, 2030"
"['Raúl Asencio', 'Centre-Back']",22,Real Madrid CF,€40.00m,Spain,2024,"Jun 30, 2026"
"['Éder Militão', 'Centre-Back']",27,Real Madrid CF,€30.00m,Brazil,2024,"Jun 30, 2028"
"['Antonio Rüdiger', 'Centre-Back']",32,Real Madrid CF,€20.00m,Germany,2024,"Jun 30, 2026"
"['David Alaba', 'Centre-Back']",33,Real Madrid CF,€6.00m,Austria,2024,"Jun 30, 2026"
"['Jesús Vallejo', 'Centre-Back']",28,Real Madrid CF,€1.00m,Spain,2024,"Jun 30, 2025"
"['Fran García', 'Left-Back']",25,Real Madrid CF,€18.00m,Spain,2024,"Jun 30, 2027"
"['Ferland Mendy', 'Left-Back']",30,Real Madrid CF,€14.00m,France,2024,"Jun 30, 2028"
"['Trent Alexander-Arnold', 'Right-Back']",26,Real Madrid CF,€75.00m,England,2024,"Jun 30, 2031"
"['Daniel Carvajal', 'Right-Back']",33,Real Madrid CF,€8.00m,Spain,2024,"Jun 30, 2026"
"['Lucas Vázquez', 'Right-Back']",33,Real Madrid CF,€3.00m,Spain,2024,"Jun 30, 2025"
"['Aurélien Tchouaméni', 'Defensive Midfield']",25,Real Madrid CF,€75.00m,France,2024,"Jun 30, 2028"
"['Mario Martín', 'Defensive Midfield']",21,Real Madrid CF,€1.50m,Spain,2024,"Jun 30, 2026"
"['Federico Valverde', 'Central Midfield']",26,Real Madrid CF,€130.00m,Uruguay,2024,"Jun 30, 2029"
"['Eduardo Camavinga', 'Central Midfield']",22,Real Madrid CF,€60.00m,France,2024,"Jun 30, 2029"
"['Dani Ceballos', 'Central Midfield']",28,Real Madrid CF,€10.00m,Spain,2024,"Jun 30, 2027"
"['Luka Modrić', 'Central Midfield']",39,Real Madrid CF,€4.00m,Croatia,2024,"Jun 30, 2025"
"['Jude Bellingham', 'Attacking Midfield']",22,Real Madrid CF,€180.00m,England,2024,"Jun 30, 2029"
"['Reinier', 'Attacking Midfield']",23,Real Madrid CF,€1.50m,Brazil,2024,"Jun 30, 2026"
"['Vinicius Junior', 'Left Winger']",24,Real Madrid CF,€170.00m,Brazil,2024,"Jun 30, 2027"
"['Rodrygo', 'Right Winger']",24,Real Madrid CF,€90.00m,Brazil,2024,"Jun 30, 2028"
"['Arda Güler', 'Right Winger']",20,Real Madrid CF,€45.00m,Türkiye,2024,"Jun 30, 2029"
"['Brahim Díaz', 'Right Winger']",25,Real Madrid CF,€40.00m,Morocco,2024,"Jun 30, 2027"
"['Kylian Mbappé', 'Centre-Forward']",26,Real Madrid CF,€180.00m,France,2024,"Jun 30, 2029"
"['Endrick', 'Centre-Forward']",18,Real Madrid CF,€35.00m,Brazil,2024,"Jun 30, 2030"
"['Álvaro Rodríguez', 'Centre-Forward']",20,Real Madrid CF,€2.50m,Uruguay,2024,"Jun 30, 2027"
